ids,times,up,content
6830165578963892648,1628438372,3,我看的是中国历史是历代革命先辈革命的历史不是为了看个别明星的
6830033588222557983,1628406903,5,为（我老公）李易峰来看的
6830121153411835330,1628427780,2,听到最后的歌曲热血沸腾，🇨🇳🇨🇳🇨🇳
6830119435588495810,1628427370,3,李大钊先生开共产主义先河，以血肉之身唤醒沉睡太久的中华雄狮，太宏观的革命先烈，很震撼
6831429725072529136,1628739768,1,少帅不帅！而且还说“李大钊该杀”，挺坏的！
6831521415326228133,1628761628,7,向革命先烈致敬，应该把英语列为选修，把主科历史，语文，数学!
6830201536643996549,1628446945,3,我84的..小学时学习组织看邓世昌看甲午战争……现在小学也真该组织看看电影了……不要以男不男女不女..历代中国兴衰成败民族忧患..爱国务必懂近史
6830786267215451434,1628586355,2,这种电影应在初高中及大学里面组织观看
6787365334022633916,1618233998,8,相信李易峰
6830165407572043017,1628438331,2,再说一次，我是来看历史的！我不是来追星的，不是追星，不追！
6830311665423148184,1628473202,3,没有共产党就没有新中国。向伟大革命前辈致敬！
6830038154271922592,1628407991,3,太阳的阳光已经照耀到整个中国大地了李大钊先生
6829954902534264475,1628388143,4,期待张颂文老师！
6830040163096081941,1628408470,3,珍惜眼前来之不易的幸福！
6830167198976057198,1628438758,2,我来看李易峰的，有多少人和我一样
6784611189926687700,1617577359,8,相信李易峰
6790821847160618541,1619058095,10,相信李易峰
6830066630651402653,1628414781,2,守常先生 这盛世如您所愿！！
6831796978830077910,1628827328,4,我现在30岁了，生活中充满了抱怨牢骚满腹，看不到希望，迷茫，看了电影，我就觉得我现在碰到困难算个屁，好好奋斗，为中华崛起而奋斗
6811388290370047509,1623961517,6,峰哥厉害了哇，饰演毛主席哇
6830006742974096699,1628400502,4,你想看到的新世界是变态，还是官官相互的世界. 人心变自私自利，不如如初的你们
6830025060254637290,1628404870,3,守常先生，这盛世如你所愿。如今的中国🇨🇳已是赤旗的时间，人民安康，国家富强致敬革命者👍👍👍
6829954613127294684,1628388074,6,守常先生，您所期盼的盛世我们今天看到了
6814428006404617610,1624686242,2,我是来看彭昱畅的，期待
6783247062940492707,1617252126,5,强大的中国力量，坚定的革命力量
6830124531927894698,1628428585,3,看革命者，不是为了某个明星来看的，是为了中国的历史，让你知道伟人的伟大，中国到目前的来之不易，有句话说的话，28年革命，2000万人牺牲，升起来的仅仅是一块红布？我们现在的生活要感谢他们，感谢先辈，今生不悔入华夏，来世还做中国人！
6831940310327512878,1628861501,9,我们都相信 也替你看到了
6830155869359854725,1628436057,4,原来守常先生早就跟蒋结石过够着，他之所以要大杀中国共产党，是因为他知道将来只有共产党才能救中国，而老蒋的独裁统治将会破灭，但他不知道中国共产党是杀不完的，因为共产党才是代表全中国受苦受难的群众。
6830143365086724877,1628433076,2,看哭了 我从黑暗中走来 却不属于光明
6830234119230594440,1628454713,2,详细介绍了党的最早的建造人奠基人的传奇，我们的幸福生活如你所愿，在一代代共产党人的领导下国家走向富强，走向世界前列，都不能忘了先辈的流血牺牲奉献
6814101021217238677,1624608283,4,为什么现在全是这样的电视？太好看了
6830372019297457449,1628487591,3,我个人认为，这部电影很好的诠释了先辈的革命精神，同时也在激励我们奋勇前行，不忘初心，革命没有尽头，中国永不言败，向先辈致敬，向英雄致敬，向祖国致敬！感谢所有演员与所有参与者！
6830508653913464020,1628520167,2,都没错，我是因为我想了解学习并敬畏历史而来看的这部剧，而一些是为了看喜欢的爱豆而来，都不冲突，但是在弹幕和评论中发表一些某某某好帅，冲，为某某某而来什么的，不合适，可以去微博或其它地方表达，在这里表达就与影片本身的爱国情怀，敬畏之心相碰撞，追星就会显得轻浮一点
6816183690422926685,1625104830,1,为什么是那英唱的
6818844466908509611,1625739208,4,不是有章若楠吗
6830107941031261078,1628424630,2,现在这些追星小年轻，一个个的，追星可以，但总要有个度，拍这些历史电影题材的导演们哪个不是为了让现在的学生们，小孩子们铭记历史，而有些人，却在这些电影下评论我为了某某明星而来，哎，真的悲哀啊。
6830053837747656387,1628411731,4,中国能走到今天太不容易了，有太多的革命故事都是让我们这些后辈牢记于心的
6830009233300268579,1628401096,2,武统台湾，让国民党见鬼去吧。
6830890544332153094,1628611217,2,李爷爷，现在的中国是你们期盼的样子，谢谢您，谢谢你们这些无私奉献的前辈，才能有我们这么幸福的后代，我建议这部剧零零后能看看，了解一下我们的历史，记住我们的伟人！
6830494456865681168,1628516782,1,这种片还要会员才能看，这种教育宣传就应该免费。
6817428524191172435,1625401621,7,今天电影院看完了，真的好看
6818557957840765863,1625670899,5,最近的李大钊和18年的玄奘一样忙的不行
6830012879534448754,1628401965,3,铭记伟大的革命先辈们
6831442585450341873,1628742834,4,这样的片子，建议平台不要尽局限会员观看;而且还应该作为热剧推给大家观看
6830329739492594644,1628477511,7,李大钊同志永垂不朽
6830043153815367570,1628409183,2,电影很不错，很好看，有一点遗憾就是觉得彭昱畅演张学良有点稚嫩，他的演技还是不错的！就是觉得这个角色不太适合他！
6830329165049098704,1628477374,4,爱国，始终是青春的底色，生逢盛世，当不负盛世李易峰演的很好！
6830090717151239501,1628420523,4,什么是共产主义我们的人民生活幸福 我们的民族富强。
6830035864869818436,1628407446,2,那时的中国真的很难很难很难，那些军阀没有一个是真正为中国，为整个中华民族考虑，当时只有中国共产党才为了整个中华民族考虑，我们不能忘记那些为中国革命付出生命的先烈。
6832578071808054686,1629013555,2,没有革命先烈的抛头颅洒热血就没有我们今天幸福的生活，像那些为了新中国奋斗的先烈致敬
6829971675455480965,1628392142,1,革命不是外交说辞！江山不是说出来的！是用先人们血肉之躯保卫来的！打到小日本。
6830058277577814977,1628412789,3,守常先生您为我们这一代人做出了不可磨灭的贡献谢谢您！还有这盛世如你所愿
6830350487531688747,1628482457,4,致敬先烈因为有你们才有我们的今天，致敬！
6830158285299929992,1628436633,2,不管在任何时候国家名族主权利益主权受到侵犯时，我们多要团结起来，不要做亡国奴，当缩头乌龟，死可怕但比死更可怕的是我们自己人麻木了沉默了。
6830128008649375042,1628429414,3,李大钊才是真正的共产党人。革命先烈何其多，不见后人过生活。
6830140947863323176,1628432499,0,还有人为张作霖站台吗？他就是个军阀土匪，人民的罪人
6830442122252791285,1628504305,3,拍的让人看不懂
6830400742059012950,1628494439,2,追星是其次的。追求电影中的这种精神才是我们最该做的。
6831603879532975523,1628781289,2,我是因为中国的伟大复兴历史而来，追星从不是我的目的，老一辈用鲜血让我们过上了好日子，牢记于心，不忘国耻
6830139502682326893,1628432155,3,为什么评分才7.6，不应该啊
6830090528445310623,1628420478,1,赤旗渲染大地，红色普照生活。人民所期盼的必定会到来。请每一年的高三学子化为赤红色的雪，燃漫大地吧。
