,用户名称,用户性别,用户id,vip等级,用户评论,评论点赞次数,评论时间
0,日天晴,男,456133947,4,羊:咩啊~~~,2,1629193430
0,江一堰,男,533149125,3,封面没看出来是派派一看居然还挺帅，我进来了，请问这是欺骗消费者吗？[doge],1,1629228038
0,浣小雏,保密,2115859376,2,绵羊料理,1,1629228104
0,我爱小雍雍,男,617445040,4,进了宁夏的羊没有一个是活着出去的[doge],1,1629223625
0,呆呆简称二呆,女,1591597390,3,我吃不到[囧][囧][囧][囧],1,1629229005
0,蔡式无语子,保密,694287137,2,在宁夏的荒岛求生,1,1629195252
0,沐理,男,400798843,5,羊:臭外地的，跑这喂饭来了[doge],1,1629195171
0,尤伊_kuyami,保密,518753354,4,来的早不如来的巧，祝各位帅哥美女心想事成，万事如意[总之就是非常可爱_可爱],1,1629195116
0,哦耶的超人,女,361581832,3,生存结束[doge],1,1629195102
0,j--o_k--e,男,492083610,4,卧槽，牧羊猴，高级[哦呼],1,1629195016
0,啦不啦鸡,女,434093010,4,别看我只是一只羊,1,1629195045
0,w鑫,男,497122663,4,看简介[doge],1,1629194949
0,街边卖疯,保密,133123489,4,完蛋了兄弟们，封面看成炫炫[藏狐],1,1629194941
0,汶水徂徕,保密,1250839275,2,来啦来啦来啦,1,1629194957
0,到了道,男,545604338,3,老实说手里的库存是不是够你歇到明年[吃瓜][吃瓜][吃瓜],1,1629194932
0,闻粮鸣笛,保密,309914832,4,羊羊这么可爱，你怎么能吃羊羊（[热词系列_真香]）[doge],1,1629194951
0,违规昵称星光,保密,283639065,4,纯路人 这是牧羊猴吗[热词系列_知识增加][热词系列_可以],1,1629194927
0,山霧雜貨鋪,保密,691623404,2,来看帅小伙啦大家[doge],1,1629194903
0,DcvHek,保密,46947264,4,没有冒犯的意思，羊羔可能恰恰恰恰恰好有点反胃，并不是因为你是丑小伙[doge][doge][doge],1,1629194899
0,柳也与陆吾,男,173409999,5,新人刚来的还不太懂，请问左边这个就是UP主吗？[doge],1,1629194854
0,祎祎吃一大口芝士,女,100289860,3,看封面up真的非常可爱 就不知道捧着他的人是谁,1,1629194801
0,圆月啃天狗,男,1996293341,3,一人之御万军[doge],1,1629194809
0,凉柚め,女,458057054,4,@绵羊料理 [doge][doge],1,1629194808
0,梦见宇航员第一天,女,510798297,4,up呢？为什么还是这只猴子，tui标题党[脱单doge],1,1629194776
0,手绘画完了吗刘同学,男,296914777,5,懂了 第一期 蟀小伙求生第二期 帅小羊求生第三期 主角敬请期待[doge],1,1629194733
0,懒懒的微笑,保密,17012483,5,不能说完全相似，只能说一模一样[脱单doge][脱单doge][脱单doge],1,1629194702
0,幻幻所念皆星河,保密,694499671,3,你还是改不了翻评论区的习惯，彦祖[脱单doge][脱单doge][脱单doge],1,1629194653
0,厌离ぃ,保密,493080473,3,不懂就问，帅小伙是被这只猴子绑架了吗[脱单doge],1,1629194617
0,兔桑桑l,女,240827397,5,帅小火,1,1629194656
0,是茉绿哦,保密,1670121829,2,🐒的天性在抓盐的瞬间展现的淋漓尽致[doge],1,1629194547
0,-渺夜-,男,489717237,4,如果派派有机会的话，也可以来内蒙古啊，这里的羊肉也特别好吃，一定要来尝一尝啊[打call]尤其是直接在牧民家里吃，绝对和饭店里面是不一样的滋味[OK],1,1629194503
0,Uherry,女,343816884,4,30分钟前~,1,1629194499
0,林小花_02,保密,296857179,4,手抓羊肉为什么不手抓[doge],1,1629194489
0,吃柠檬_酸,保密,637454258,3,他追羊的时候像极了一条牧羊犬[doge][doge][doge][doge][doge][doge][doge][doge][doge],1,1629194484
0,青色眼睛的守护者,男,26712839,5,荒岛求生之我在宁夏吃羊羊,1,1629194420
0,兔桑桑l,女,240827397,5,你看封面那只羊笑得多开心啊,1,1629194387
0,记录生活的蛋黄汁,保密,1683666800,2,"给大伙变个老婆.               。(""▔□▔)/  。                     。                         。                         。                         。                  .　　         　▃▆█▇▄▖　　     　▟◤▖　　　◥█▎　　　◢◤　   ▐　　　　▐▉　▗◤　　　▂　▗▖　　▕█▎　◤　▗▅▖◥▄　▀◣　　█▊▐　▕▎◥▖◣◤　　　　◢███◣　◥▅█▀　　　　▐██◤▐█▙▂　　　      ◢██◤　◥██◣　　　　◢▄◤　　　▀██▅▇▀ 嗯～哼～哼～啊啊啊啊啊啊～呃啊啊啊啊啊啊～啊啊啊啊啊啊～～",1,1629194310
0,--ERASER--,男,630317173,4,关于荒岛求生没剪出来就发存货的这件事[藏狐],1,1629194327
0,夏九_恋,保密,615659606,4,［置顶］三连吗谢谢[doge],1,1629194269
0,是琴师鸭,女,488844349,2,放花椒大料你别买我家羊肉给我踢出去[doge][doge][doge],1,1629194260
0,假迷三道哇,男,6861608,6,我吃不到的时候 就想看你去荒岛了,1,1629194280
0,芳芳睡着了,女,500695904,3,艾特绵羊料理[doge],1,1629194280
0,一只黑宿,女,543334248,4,我还以为更荒野[doge][doge],1,1629194274
0,毒丶心术,男,27828715,5,阿姨下一集决定了，做蛋黄派[doge]@绵羊料理,1,1629194269
0,鱼签儿,男,392987674,3,吧旮，朕还误以为更新荒野了，来人啊，把这丑小伙拖出去。[doge],1,1629194233
0,萌新_墨玕,保密,20623395,5,《帅小伙坚持不住荒野记录为了粉丝们能听到妙呀竟抛下好兄弟自己回家吃正宗宁夏滩羊肉》[doge],1,1629194254
0,行简不白,保密,408066553,5,可能，有陌生人来羊圈就意味着有一只羊要被抓走宰杀，所以看见陌生人喂食也不吃[藏狐],1,1629194253
0,是芒不是茫,保密,1929570325,2,纯贤宝宝，请问这是路人吗？[doge],1,1629194199
0,Eilish__,保密,412652671,3,呦西，大制作,1,1629194184
0,NiChiLeMa-,保密,313646126,5,派派大会员过期了[doge],1,1629194181
0,gvgud,男,630196983,4,4:45,1,1629194137
0,嘿嘿今天快乐鸭,保密,360473047,5,帅小伙的荒野生活像花7个小时去吃正宗的宁夏滩羊肉，果然名不虚传！,1,1629194148
0,暮汐啊,男,502274124,4,大———姨———[tv_难过][tv_难过],1,1629194100
0,小拳拳捶扁你胸口,男,38752360,5,好家伙，有了女朋友现在剩啥都没哥哥份了[笑哭],1,1629194085
0,原野ccn,男,702508230,3,宁夏的羊应该没见过猴子吧[doge],1,1629194145
0,想吃饭饭的范范,男,601598981,4,蛋黄派真的是我见过脾气最好的up了，那么多的人都说他是丑小伙，他都没在意，所以，我也要叫他丑小伙[doge],1,1629194069
0,Yibana,男,4400352,6,才刚发半小时，就有人说大半夜看到了,1,1629194069
0,cyx呀呀呀呀呀,保密,1294398561,2,荒野好多羊啊[doge][doge],1,1629194010
0,-_安于现状_-,女,480115549,4,没派嫂，兄弟萌撤了,1,1629194021
0,回家混不符合,保密,493364758,4,是手抓啦[doge],1,1629193961
0,More_hesitation,女,2136939066,3,隔离14天！[doge],1,1629193929
0,小满为盈y,女,180180598,5,羊:咩————蛋黄派:妙————[热词系列_知识增加],1,1629193928
0,甜甜养乐多鸭,女,438154334,3,不容易啊，等啊等啊盼着盼着你终于来更新一下下了,1,1629193927
0,鹿鹿子_就行,女,1824876167,3,饿了…考虑人手一斤吗？[doge],1,1629193920
0,-_-_啦啦啦_-_-,保密,693729826,3,荒岛求生到了宁夏[妙啊],1,1629193909
0,苏歌不是苏哥,男,449516731,3,好想天天能看到派派和派嫂的合拍[脱单doge],1,1629193898
0,一丝丝青柳,保密,393668226,4,不三连，再见[tv_再见],1,1629193897
0,坤虚菜菜子---,保密,379462118,4,荒岛上吃个滩羊怎么了[doge],1,1629193887
0,島雾,保密,405983713,4,不想看帅小伙吃羊 想看野人荒野求生记录[doge],1,1629193887
0,我是殖民者,保密,335331975,5,大半夜给我看饿了[大哭][大哭][大哭][大哭][大哭][大哭][大哭]，对，我在阿拉斯加[星星眼],1,1629193841
0,我要金小,保密,1661286709,2,科代表来了：还没看呢[微笑],1,1629193871
0,Dr--夏目,保密,438538750,4,从荒岛求生变成了荒野吃羊,1,1629193837
0,怎么就只有我交了作业,男,35177606,5,那个展示的转盘是扫地机器人嘛[来古-疑问],1,1629193813
0,缺牙巴的宝ber,女,530724895,3,省流助手04:40[脱单doge],1,1629193866
