,用户名称,用户性别,用户id,vip等级,用户评论,评论点赞次数,评论时间
0,拾柒没有猫,女,81073055,5,先说一下，杠精绕道，首页热门看到的，点进来了，本来以为会看到奥运冠军群像那种动漫风的，结果，真的是有点分不清谁是谁，既然up主起了这个标题，我相信d大部分刷到的都是奔着奥运冠军进来的，结果进来一看都认不清哪个是哪个，我也不觉得up是在蹭热度，只是现在哔站风气就这样？只能夸不能批评？当然了，up的绘画功底什么的我也看不懂，单独来看这几个人物的绘画我感觉挺好看的，就是不够像，就像评论区说的，缺少了人物的标志性特征，给人一种没怎么上心蹭热度的感觉。别杠😓杠就是你对,3,1628741706
0,飞鸡投弹,男,4660289,6,很有技术力，很拽，可是一个都不像呀[思考],5,1628499515
0,学会坚持1,保密,371490794,3,挺棒的，就是想提一点意见，画眼睛的时候可以采用不同的方式，不要绝大部分都采用冷漠傲娇眼（不知道形容的是否准确），这样的话如果发型再一相似，真的好多人好像一个模子出来的（如果不打名字），除了少部分非常有特点的，这种情况在男运动员身上更明显（女运动员还能有多种发型，男运动剪短发居多），只是小小建议。当然瑕不掩瑜，还是非常有心的,15,1628435082
0,百鬼志,保密,27516522,5,侯不是候，姓侯的我基本每天都在重复这句话[doge],7,1628467675
0,是橙子白皙啊丶,保密,1168020904,3,看来美术生要坐不住了,8,1628431460
0,Smile-悠悠,女,1457527149,2,马龙可以把双眼皮画上，其实我觉得每个人物画的都不太像,63,1628428450
0,湮月夜,保密,4677409,5,给UP点赞了，但是不得不说，人物特征完全没抓住，别的不说，有没有仔细观察过他们的发型和配饰？也许不如UP给的发型好看，但是那是人物的特征啊,3,1628603626
0,月牙小淑女汉子,保密,1420875977,2,我觉的很有个性，到不像评论区说那样[捂脸],3,1628566573
0,啊波啾,保密,498788546,4,有时候就是因为看完比赛热血沸腾就想画了，然后就一口气画完，虽然没怎么画出运动员的特色，但是也不必就说up主就是蹭热度，没用心吧？评论区都是批评，有些语气还好，有些评论语气实在有点尖锐，这也太伤人心了,4,1628510183
0,箬妍希,保密,237540993,5,。。。。up红笔,4,1628487229
0,朝拾热风,保密,454236505,3,虽然很牛逼，我是画不来，但是，我觉得哈，如果用速写会不会更好的表达特点更容易区分，写实一点，虽然不像漫画脸那么好看，但是能一眼就看出谁是谁。,8,1628439458
0,红色厨激情对线苏解厨,保密,1568355984,3,emmmmmmm ……不要用红笔写人名啊啊啊啊啊啊啊啊啊啊啊啊！,4,1628489932
0,冰镇柠檬-浩,男,1737755264,2,为什么名字要用红笔写？[藏狐],4,1628501454
0,明神喻,保密,399581270,4,还是想说，这是漫画画法不是素描，大部分漫画动漫都是根据发色和瞳色来区分人的，更别说这些冠军都是差不多的发型。有人说太幼，但up的漫画画风就是比较接近Q版，你看不出来谁是谁很正常，不用因为这点就骂up是蹭热度好吧？几个人能一下子都画出来？按你的标准所有关于奥运的视频都是蹭热度呗[再见]。,3,1628519048
0,一言堂堂,保密,182631976,4,提个不成熟的建议，不要把人画成相似的脸型，龙生九子各有不同，他们的出彩不在样貌[支持],44,1628429107
0,横滨の歌姬先生,保密,445059468,4,说红字写人名不妥的，我实在不知道哪来的封建迷信，上次遇到这种事还是我初中同学，互批试卷的时候让她用红笔写批阅人的名字以免混淆，她偏不写，结果被老师狠狠骂了一顿[微笑],3,1628566076
0,伞伞伞嗯,保密,358798887,6,中国队yyds，哲大nb[打call],299,1628402422
0,想要AD钙,保密,347542904,5,以后还是尽量不要用红字写名了，很不好啊,4,1628480707
0,BlueCola蓝猫K,保密,381590151,4,名字尽量不要红色字写吧（没有别的意思up画的也是很不错的）,4,1628489478
0,杰哥_齐贝林,男,275182229,5,是我脸盲还是……怎么感觉都是一张脸？,4,1628504988
0,王羽_ws345896065,男,260726404,5,画的我一个都不认识但写的名字我都认知,5,1628478067
0,kahkichen,女,436376503,4,求up画画的各种笔，看起来好好用的样子！,3,1628495642
0,zajanmy,保密,13249867,4,感觉都长差不多,5,1628480322
0,松尐,保密,29922463,4,我觉得还差个肖若腾，因为小日本说的不算[支持],3,1628554970
0,许村,保密,11360282,5,太偏心了叭，给杨倩那么多地方，给其他运动员有些就一个头.... 难道除了首金其他都不重要吗[大哭][大哭],3,1628485560
0,9009,男,816414,6,举重男队画的太幼了，其他也幼，举重队尤甚。尤其吕小军，军神那个超帅的宽下巴，军神那种征战三届夺冠三届的厚重根本没画出来啊！中国男人的帅气不该只有一种。点赞的那么多，我思想斗争了很久，还是点踩了。,182,1628482060
